Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","10","Australia","5910","Export Quantity","4007","Ammonia, anhydrous","2002","2002","tonnes","19423.88","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5910","Export Quantity","4007","Ammonia, anhydrous","2003","2003","tonnes","38767.42","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5910","Export Quantity","4007","Ammonia, anhydrous","2004","2004","tonnes","29.67","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5910","Export Quantity","4007","Ammonia, anhydrous","2005","2005","tonnes","45.69","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5910","Export Quantity","4007","Ammonia, anhydrous","2006","2006","tonnes","317432.09","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5910","Export Quantity","4007","Ammonia, anhydrous","2007","2007","tonnes","672038.23","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5910","Export Quantity","4007","Ammonia, anhydrous","2008","2008","tonnes","331162.64","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5910","Export Quantity","4007","Ammonia, anhydrous","2009","2009","tonnes","555310.49","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5910","Export Quantity","4007","Ammonia, anhydrous","2010","2010","tonnes","593883.08","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5910","Export Quantity","4007","Ammonia, anhydrous","2011","2011","tonnes","385777.46","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
