Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2005","2005","kg/ha","8.3","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2006","2006","kg/ha","9.1","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2007","2007","kg/ha","9.66","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2008","2008","kg/ha","8.76","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2009","2009","kg/ha","5.7","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2010","2010","kg/ha","6.4","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2011","2011","kg/ha","5.6","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2012","2012","kg/ha","5.88","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2013","2013","kg/ha","6.63","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2014","2014","kg/ha","4.88","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2015","2015","kg/ha","5.45","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2016","2016","kg/ha","4.38","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2017","2017","kg/ha","3.08","Fc","Calculated data"
"EF","Fertilizers indicators","231","United States of America","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2002","2002","kg/ha","62.29","Fc","Calculated data"
"EF","Fertilizers indicators","231","United States of America","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2003","2003","kg/ha","66.51","Fc","Calculated data"
"EF","Fertilizers indicators","231","United States of America","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2004","2004","kg/ha","66.57","Fc","Calculated data"
"EF","Fertilizers indicators","231","United States of America","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2005","2005","kg/ha","65.18","Fc","Calculated data"
"EF","Fertilizers indicators","231","United States of America","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2006","2006","kg/ha","69.73","Fc","Calculated data"
"EF","Fertilizers indicators","231","United States of America","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2007","2007","kg/ha","70.43","Fc","Calculated data"
"EF","Fertilizers indicators","231","United States of America","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2008","2008","kg/ha","67.95","Fc","Calculated data"
"EF","Fertilizers indicators","231","United States of America","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2009","2009","kg/ha","65.68","Fc","Calculated data"
"EF","Fertilizers indicators","231","United States of America","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2010","2010","kg/ha","68.93","Fc","Calculated data"
"EF","Fertilizers indicators","231","United States of America","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2011","2011","kg/ha","75.73","Fc","Calculated data"
