Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","231","United States of America","5910","Export Quantity","4007","Ammonia, anhydrous","2004","2004","tonnes","507242.64","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5910","Export Quantity","4007","Ammonia, anhydrous","2005","2005","tonnes","645487.45","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5910","Export Quantity","4007","Ammonia, anhydrous","2006","2006","tonnes","221705.43","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5910","Export Quantity","4007","Ammonia, anhydrous","2007","2007","tonnes","145332.53","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5910","Export Quantity","4007","Ammonia, anhydrous","2008","2008","tonnes","79047.56","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5910","Export Quantity","4007","Ammonia, anhydrous","2009","2009","tonnes","35597.71","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5910","Export Quantity","4007","Ammonia, anhydrous","2010","2010","tonnes","67949.45","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5910","Export Quantity","4007","Ammonia, anhydrous","2011","2011","tonnes","23489.62","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5910","Export Quantity","4007","Ammonia, anhydrous","2012","2012","tonnes","28629.13","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5910","Export Quantity","4007","Ammonia, anhydrous","2013","2013","tonnes","63114.43","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5910","Export Quantity","4007","Ammonia, anhydrous","2014","2014","tonnes","79650.02","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5910","Export Quantity","4007","Ammonia, anhydrous","2015","2015","tonnes","181152.47","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5910","Export Quantity","4007","Ammonia, anhydrous","2016","2016","tonnes","187224.7","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5910","Export Quantity","4007","Ammonia, anhydrous","2017","2017","tonnes","720367.62","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5922","Export Value","4007","Ammonia, anhydrous","2002","2002","1000 US$","81177.19","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5922","Export Value","4007","Ammonia, anhydrous","2003","2003","1000 US$","125126.85","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5922","Export Value","4007","Ammonia, anhydrous","2004","2004","1000 US$","144476.14","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5922","Export Value","4007","Ammonia, anhydrous","2005","2005","1000 US$","202394.71","R","Estimated data using trading partners database"
