code,region,state,grape_area_region,grape_area_landuse,lu_mean_temp_annual,lu_mean_temp_winter,lu_mean_temp_summer,lu_max_temp_annual,lu_max_temp_winter,lu_max_temp_summer,lu_min_temp_annual,lu_min_temp_winter,lu_min_temp_summer,lu_mean_rain_annual,lu_mean_rain_dry,lu_mean_rain_wet,lu_mean_solar_annual,lu_mean_solar_dry,lu_mean_solar_wet,lu_bulk_density,lu_carbon,lu_clay,lu_nitrogen,lu_ph,lu_phosphorus,lu_sand,lu_silt,lu_water_capacity,yield
101021011,Queanbeyan Region,NSW,7.15,40.752869,11.737681388855,6.46013040127962,15.4969879233319,18.0608693827753,12.1177392213241,22.2852175339409,5.4144927729731,0.802521735753702,8.7087576907614,701.881533415421,465.35871290124,434.720283840014,17.2485519906749,11.1416228335837,21.610644299051,1.41913228449614,2.20904067288274,14.1188531958539,0.143024687209855,4.71346090150916,0.0288597426336745,57.0693387570589,18.0906656928684,4.71346090150916,3.33
101041020,Bega-Eden Hinterland,NSW,3.22,21.162236,14.3788201014201,10.3900000254313,17.2239265441895,19.9049997329712,16.279666741689,22.4864314397176,8.85263919830322,4.50033330917358,11.9614267349243,923.618377685547,575.427042643229,611.477661132812,15.6166768074036,10.582629998525,19.2124252319336,1.30743426084518,2.55440231164296,14.4109954833984,0.193217560648918,4.62598888079325,0.0288406380762657,56.0877590179443,14.3258598645528,4.62598888079325,0.8
103011060,Bathurst Region,NSW,10.99,43.974474,12.339280908758,7.10863633589311,16.1207792108709,18.4400000138716,12.4916363629428,22.7794820612127,6.23856089331887,1.72563637386669,9.46207861466841,703.179670854048,428.984125310724,450.753775856712,17.4939183321866,11.5397590290416,21.7468910217285,1.4131158915433,1.53616961565885,15.3633137616244,0.130326688289642,4.76517300172286,0.0233337333933874,59.1209522594105,15.069220716303,4.76517300172286,1.89
103021063,Cowra,NSW,53.43,174.39445,16.1069779396057,10.3742496967316,20.2003574371338,22.5374999046326,15.8144998550415,27.3367853164673,9.67645835876465,4.93400001525879,13.0639300346375,632.720336914062,414.930603027344,378.401679992676,18.1993703842163,11.5147848129272,22.9740748405457,1.44646415114403,1.31509852409363,26.256148815155,0.123775534331799,5.21486973762512,0.0316712069325149,56.2343778610229,17.7461493015289,5.21486973762512,8.41
103021064,Cowra Region,NSW,368.37,1244.44187,15.8044799963633,9.98363876342773,19.9630737304688,22.5144447750515,15.8182777563731,27.2991262012058,9.09451402558221,4.14899996916453,12.6270234054989,616.14096238878,401.798620435927,369.106224907769,18.2012129889594,11.6204882992638,22.9017312791612,1.46916256348292,1.35662958025932,24.2889794773526,0.136328429190649,5.10981175634596,0.0382010538337959,56.0077369478014,17.5658127201928,5.10981175634596,11.12
103021065,Forbes,NSW,108.9,382.1695,16.7382499694824,10.661600112915,21.1030002593994,23.5939994812012,16.7499996185303,28.5311462402344,9.88250141143799,4.57319993972778,13.6748579025269,502.720159912109,327.332025146484,304.244750976562,18.6595920562744,12.0047718048096,23.4130340576172,1.44951727390289,1.34886403083801,32.1800552368164,0.104788061976433,5.74224443435669,0.0319833606481552,49.2427993774414,15.6911039352417,5.74224443435669,9.58
103031072,Mudgee,NSW,79.93,265.90736,15.1647332763672,9.63279979705811,19.2139701080322,21.9936002349854,16.0539202880859,26.4319437408447,8.33586671829224,3.21168000221252,11.9959991836548,674.7366796875,415.569331054687,419.892933349609,18.1795956420898,12.3812579727173,22.3212656402588,1.48390667438507,1.61406599998474,20.4749137115479,0.103346030414104,5.24100559234619,0.0291104712337255,52.08326171875,19.407322769165,5.24100559234619,3.3
103031073,Mudgee Region - East,NSW,122.84,163.408721,13.2813552220662,8.04512506723404,17.0989556709925,19.4854165712992,13.6999999284744,23.7727383772532,7.07729162772497,2.39025001724561,10.4251794020335,740.156229654948,458.041481018066,465.582354227702,17.5210421085358,12.107840458552,21.3876141707102,1.36539211372534,1.99953147768974,21.0380976200104,0.132854134154816,4.87100334962209,0.0259939807777603,50.4853340784709,16.401509920756,4.87100334962209,5.8
103031074,Mudgee Region - West,NSW,441.98,2399.823902,15.1696671485901,9.62593635212291,19.2141229109331,21.9712725205855,15.9881092418324,26.414259407737,8.36806070154364,3.26376363147389,12.0139876972545,668.354339599609,406.748693847656,420.515885231712,18.259563220631,12.4449939727783,22.4128310116855,1.44562259153886,1.70216288458217,23.26808608662,0.128089652075009,5.37292826392434,0.0318196286193349,50.891105409102,17.8509182583202,5.37292826392434,4.43
103041076,Blayney,NSW,233.94,333.558467,13.1645842159496,7.7242353663725,17.0518877926995,19.2852940278895,12.8967059640323,23.851261475507,7.04387255275951,2.55176472663879,10.2525197758394,811.112721162684,553.297858743107,454.963500976562,17.8162372813505,11.337293063893,22.444055332857,1.39228441434748,1.70711580444785,23.5967297273524,0.15758093577974,5.03026939840878,0.0363630734603195,50.4523593678194,20.5158467012293,5.03026939840878,7.34
103041079,Orange Region,NSW,1305.98,1675.3548,12.5039354928649,7.09677229305305,16.3612452119884,18.4469307720071,12.0854653556748,22.9809334254501,6.56094054892512,2.10807919148171,9.7415559598715,856.598009166151,581.530327523109,478.795143958366,17.9241381541337,11.5955995049807,22.4445255015156,1.36673067701925,1.95309263526803,21.8608893215066,0.159451084635635,4.86829511717995,0.0303316797212799,50.3474592832055,20.5987636169585,4.86829511717995,7.94
