time,latitude,longitude,tas_annual
UTC,degrees_north,degrees_east,K
2070-01-01T12:00:00Z,-48.75,170.625,1.7332153
2070-01-01T12:00:00Z,-48.75,172.5,1.6997986
2070-01-01T12:00:00Z,-48.75,174.375,1.6650696
2070-01-01T12:00:00Z,-48.75,176.25,1.6357422
2070-01-01T12:00:00Z,-48.75,178.125,1.6060486
2070-01-01T12:00:00Z,-48.75,180.0,1.5699158
2070-01-01T12:00:00Z,-47.5,90.0,1.9441223
2070-01-01T12:00:00Z,-47.5,91.875,1.9558716
2070-01-01T12:00:00Z,-47.5,93.75,2.0010986
2070-01-01T12:00:00Z,-47.5,95.625,2.05484
2070-01-01T12:00:00Z,-47.5,97.5,2.0896301
2070-01-01T12:00:00Z,-47.5,99.375,2.0976562
2070-01-01T12:00:00Z,-47.5,101.25,2.0849915
2070-01-01T12:00:00Z,-47.5,103.125,2.0524292
2070-01-01T12:00:00Z,-47.5,105.0,2.0151978
2070-01-01T12:00:00Z,-47.5,106.875,1.9794006
2070-01-01T12:00:00Z,-47.5,108.75,1.9273987
2070-01-01T12:00:00Z,-47.5,110.625,1.8542786
2070-01-01T12:00:00Z,-47.5,112.5,1.788208
2070-01-01T12:00:00Z,-47.5,114.375,1.7471313
2070-01-01T12:00:00Z,-47.5,116.25,1.718811
2070-01-01T12:00:00Z,-47.5,118.125,1.6899414
2070-01-01T12:00:00Z,-47.5,120.0,1.6543884
2070-01-01T12:00:00Z,-47.5,121.875,1.6147156
2070-01-01T12:00:00Z,-47.5,123.75,1.5800171
2070-01-01T12:00:00Z,-47.5,125.625,1.5460815
2070-01-01T12:00:00Z,-47.5,127.5,1.5139465
2070-01-01T12:00:00Z,-47.5,129.375,1.4947205
2070-01-01T12:00:00Z,-47.5,131.25,1.4963684
2070-01-01T12:00:00Z,-47.5,133.125,1.5061951
2070-01-01T12:00:00Z,-47.5,135.0,1.5068359
2070-01-01T12:00:00Z,-47.5,136.875,1.502594
2070-01-01T12:00:00Z,-47.5,138.75,1.5120239
2070-01-01T12:00:00Z,-47.5,140.625,1.5897827
2070-01-01T12:00:00Z,-47.5,142.5,1.7837524
2070-01-01T12:00:00Z,-47.5,144.375,2.0328674
2070-01-01T12:00:00Z,-47.5,146.25,2.2340698
2070-01-01T12:00:00Z,-47.5,148.125,2.3233337
2070-01-01T12:00:00Z,-47.5,150.0,2.3073425
2070-01-01T12:00:00Z,-47.5,151.875,2.2120972
2070-01-01T12:00:00Z,-47.5,153.75,2.0958557
2070-01-01T12:00:00Z,-47.5,155.625,2.0181274
2070-01-01T12:00:00Z,-47.5,157.5,1.9756165
2070-01-01T12:00:00Z,-47.5,159.375,1.9371033
2070-01-01T12:00:00Z,-47.5,161.25,1.9043274
2070-01-01T12:00:00Z,-47.5,163.125,1.9082031
2070-01-01T12:00:00Z,-47.5,165.0,1.9844666
2070-01-01T12:00:00Z,-47.5,166.875,2.0195923
2070-01-01T12:00:00Z,-47.5,168.75,1.9640808
2070-01-01T12:00:00Z,-47.5,170.625,1.8678284
2070-01-01T12:00:00Z,-47.5,172.5,1.817688
2070-01-01T12:00:00Z,-47.5,174.375,1.7608337
2070-01-01T12:00:00Z,-47.5,176.25,1.7212524
2070-01-01T12:00:00Z,-47.5,178.125,1.6968384
2070-01-01T12:00:00Z,-47.5,180.0,1.6725769
2070-01-01T12:00:00Z,-46.25,90.0,1.9415588
2070-01-01T12:00:00Z,-46.25,91.875,1.9621277
2070-01-01T12:00:00Z,-46.25,93.75,1.9988403
