time,latitude,longitude,pr_annual
UTC,degrees_north,degrees_east,Percent change
2070-01-01T12:00:00Z,-48.75,172.5,5.3488684
2070-01-01T12:00:00Z,-48.75,174.375,3.3309097
2070-01-01T12:00:00Z,-48.75,176.25,2.7557266
2070-01-01T12:00:00Z,-48.75,178.125,2.783777
2070-01-01T12:00:00Z,-48.75,180.0,2.9717736
2070-01-01T12:00:00Z,-47.5,90.0,4.8270345
2070-01-01T12:00:00Z,-47.5,91.875,5.318363
2070-01-01T12:00:00Z,-47.5,93.75,6.7838407
2070-01-01T12:00:00Z,-47.5,95.625,8.338439
2070-01-01T12:00:00Z,-47.5,97.5,8.985183
2070-01-01T12:00:00Z,-47.5,99.375,8.947694
2070-01-01T12:00:00Z,-47.5,101.25,6.9787955
2070-01-01T12:00:00Z,-47.5,103.125,5.180828
2070-01-01T12:00:00Z,-47.5,105.0,4.4320354
2070-01-01T12:00:00Z,-47.5,106.875,3.2435865
2070-01-01T12:00:00Z,-47.5,108.75,2.2282023
2070-01-01T12:00:00Z,-47.5,110.625,-0.58794314
2070-01-01T12:00:00Z,-47.5,112.5,-1.8953625
2070-01-01T12:00:00Z,-47.5,114.375,-1.5609181
2070-01-01T12:00:00Z,-47.5,116.25,-1.6703228
2070-01-01T12:00:00Z,-47.5,118.125,-2.0520217
2070-01-01T12:00:00Z,-47.5,120.0,-2.0390284
2070-01-01T12:00:00Z,-47.5,121.875,-2.0230732
2070-01-01T12:00:00Z,-47.5,123.75,-2.0949993
2070-01-01T12:00:00Z,-47.5,125.625,-3.051126
2070-01-01T12:00:00Z,-47.5,127.5,-4.298678
2070-01-01T12:00:00Z,-47.5,129.375,-4.229046
2070-01-01T12:00:00Z,-47.5,131.25,-1.4542527
2070-01-01T12:00:00Z,-47.5,133.125,-0.5229294
2070-01-01T12:00:00Z,-47.5,135.0,-0.018059663
2070-01-01T12:00:00Z,-47.5,136.875,-0.7221353
2070-01-01T12:00:00Z,-47.5,138.75,-1.3030146
2070-01-01T12:00:00Z,-47.5,140.625,-0.9650512
2070-01-01T12:00:00Z,-47.5,142.5,1.3638595
2070-01-01T12:00:00Z,-47.5,144.375,6.117204
2070-01-01T12:00:00Z,-47.5,146.25,11.327056
