time,latitude,longitude,tasmax_annual
UTC,degrees_north,degrees_east,K
2050-01-01T12:00:00Z,-48.75,170.625,1.1713562
2050-01-01T12:00:00Z,-48.75,172.5,1.1698303
2050-01-01T12:00:00Z,-48.75,174.375,1.1528625
2050-01-01T12:00:00Z,-48.75,176.25,1.1421204
2050-01-01T12:00:00Z,-48.75,178.125,1.1245728
2050-01-01T12:00:00Z,-48.75,180.0,1.108551
2050-01-01T12:00:00Z,-47.5,90.0,1.243103
2050-01-01T12:00:00Z,-47.5,91.875,1.2562866
2050-01-01T12:00:00Z,-47.5,93.75,1.282135
2050-01-01T12:00:00Z,-47.5,95.625,1.3074951
2050-01-01T12:00:00Z,-47.5,97.5,1.3187256
2050-01-01T12:00:00Z,-47.5,99.375,1.3191223
2050-01-01T12:00:00Z,-47.5,101.25,1.2919617
2050-01-01T12:00:00Z,-47.5,103.125,1.2561035
2050-01-01T12:00:00Z,-47.5,105.0,1.2243958
2050-01-01T12:00:00Z,-47.5,106.875,1.1919556
2050-01-01T12:00:00Z,-47.5,108.75,1.1407776
2050-01-01T12:00:00Z,-47.5,110.625,1.0756226
2050-01-01T12:00:00Z,-47.5,112.5,1.009491
2050-01-01T12:00:00Z,-47.5,114.375,0.96661377
2050-01-01T12:00:00Z,-47.5,116.25,0.93930054
2050-01-01T12:00:00Z,-47.5,118.125,0.9123535
2050-01-01T12:00:00Z,-47.5,120.0,0.8694458
2050-01-01T12:00:00Z,-47.5,121.875,0.8251343
2050-01-01T12:00:00Z,-47.5,123.75,0.8026428
2050-01-01T12:00:00Z,-47.5,125.625,0.78552246
2050-01-01T12:00:00Z,-47.5,127.5,0.7722168
2050-01-01T12:00:00Z,-47.5,129.375,0.7588501
2050-01-01T12:00:00Z,-47.5,131.25,0.75949097
2050-01-01T12:00:00Z,-47.5,133.125,0.76730347
2050-01-01T12:00:00Z,-47.5,135.0,0.77005005
2050-01-01T12:00:00Z,-47.5,136.875,0.7691345
2050-01-01T12:00:00Z,-47.5,138.75,0.77630615
2050-01-01T12:00:00Z,-47.5,140.625,0.82373047
2050-01-01T12:00:00Z,-47.5,142.5,0.9414673
2050-01-01T12:00:00Z,-47.5,144.375,1.123291
2050-01-01T12:00:00Z,-47.5,146.25,1.2960205
2050-01-01T12:00:00Z,-47.5,148.125,1.374939
2050-01-01T12:00:00Z,-47.5,150.0,1.3789978
2050-01-01T12:00:00Z,-47.5,151.875,1.3414001
2050-01-01T12:00:00Z,-47.5,153.75,1.2954712
2050-01-01T12:00:00Z,-47.5,155.625,1.2632751
2050-01-01T12:00:00Z,-47.5,157.5,1.2458496
2050-01-01T12:00:00Z,-47.5,159.375,1.2337341
2050-01-01T12:00:00Z,-47.5,161.25,1.2301636
2050-01-01T12:00:00Z,-47.5,163.125,1.2669983
2050-01-01T12:00:00Z,-47.5,165.0,1.3720703
2050-01-01T12:00:00Z,-47.5,166.875,1.4356384
2050-01-01T12:00:00Z,-47.5,168.75,1.3743591
2050-01-01T12:00:00Z,-47.5,170.625,1.2876892
2050-01-01T12:00:00Z,-47.5,172.5,1.2737732
2050-01-01T12:00:00Z,-47.5,174.375,1.2454529
2050-01-01T12:00:00Z,-47.5,176.25,1.2338257
2050-01-01T12:00:00Z,-47.5,178.125,1.2252502
2050-01-01T12:00:00Z,-47.5,180.0,1.2182007
2050-01-01T12:00:00Z,-46.25,90.0,1.2538757
2050-01-01T12:00:00Z,-46.25,91.875,1.2637024
2050-01-01T12:00:00Z,-46.25,93.75,1.2788696
2050-01-01T12:00:00Z,-46.25,95.625,1.2817993
2050-01-01T12:00:00Z,-46.25,97.5,1.2681274
2050-01-01T12:00:00Z,-46.25,99.375,1.2433472
2050-01-01T12:00:00Z,-46.25,101.25,1.2065125
