time,latitude,longitude,tasmin_annual
UTC,degrees_north,degrees_east,K
2030-01-01T12:00:00Z,-48.75,170.625,0.48129272
2030-01-01T12:00:00Z,-48.75,172.5,0.486969
2030-01-01T12:00:00Z,-48.75,174.375,0.49853516
2030-01-01T12:00:00Z,-48.75,176.25,0.5010681
2030-01-01T12:00:00Z,-48.75,178.125,0.50338745
2030-01-01T12:00:00Z,-48.75,180.0,0.5033264
2030-01-01T12:00:00Z,-47.5,90.0,0.6407471
2030-01-01T12:00:00Z,-47.5,91.875,0.6498413
2030-01-01T12:00:00Z,-47.5,93.75,0.6633911
2030-01-01T12:00:00Z,-47.5,95.625,0.662323
2030-01-01T12:00:00Z,-47.5,97.5,0.6545105
2030-01-01T12:00:00Z,-47.5,99.375,0.6406555
2030-01-01T12:00:00Z,-47.5,101.25,0.6359863
2030-01-01T12:00:00Z,-47.5,103.125,0.6291809
2030-01-01T12:00:00Z,-47.5,105.0,0.6288452
2030-01-01T12:00:00Z,-47.5,106.875,0.6188965
2030-01-01T12:00:00Z,-47.5,108.75,0.5997009
2030-01-01T12:00:00Z,-47.5,110.625,0.5722046
2030-01-01T12:00:00Z,-47.5,112.5,0.5466614
2030-01-01T12:00:00Z,-47.5,114.375,0.5235596
2030-01-01T12:00:00Z,-47.5,116.25,0.50177
2030-01-01T12:00:00Z,-47.5,118.125,0.4878235
2030-01-01T12:00:00Z,-47.5,120.0,0.47769165
2030-01-01T12:00:00Z,-47.5,121.875,0.46401978
2030-01-01T12:00:00Z,-47.5,123.75,0.45358276
2030-01-01T12:00:00Z,-47.5,125.625,0.44485474
2030-01-01T12:00:00Z,-47.5,127.5,0.43981934
2030-01-01T12:00:00Z,-47.5,129.375,0.43240356
2030-01-01T12:00:00Z,-47.5,131.25,0.44708252
2030-01-01T12:00:00Z,-47.5,133.125,0.46151733
2030-01-01T12:00:00Z,-47.5,135.0,0.46780396
2030-01-01T12:00:00Z,-47.5,136.875,0.47409058
2030-01-01T12:00:00Z,-47.5,138.75,0.48233032
2030-01-01T12:00:00Z,-47.5,140.625,0.49090576
2030-01-01T12:00:00Z,-47.5,142.5,0.5206299
2030-01-01T12:00:00Z,-47.5,144.375,0.5607605
2030-01-01T12:00:00Z,-47.5,146.25,0.5985718
2030-01-01T12:00:00Z,-47.5,148.125,0.6097717
2030-01-01T12:00:00Z,-47.5,150.0,0.6038513
2030-01-01T12:00:00Z,-47.5,151.875,0.5904541
2030-01-01T12:00:00Z,-47.5,153.75,0.5784302
2030-01-01T12:00:00Z,-47.5,155.625,0.56643677
2030-01-01T12:00:00Z,-47.5,157.5,0.5625305
2030-01-01T12:00:00Z,-47.5,159.375,0.55667114
2030-01-01T12:00:00Z,-47.5,161.25,0.5499573
2030-01-01T12:00:00Z,-47.5,163.125,0.5465698
2030-01-01T12:00:00Z,-47.5,165.0,0.58078
2030-01-01T12:00:00Z,-47.5,166.875,0.5839844
2030-01-01T12:00:00Z,-47.5,168.75,0.5675354
2030-01-01T12:00:00Z,-47.5,170.625,0.5373535
2030-01-01T12:00:00Z,-47.5,172.5,0.5367737
2030-01-01T12:00:00Z,-47.5,174.375,0.5323181
2030-01-01T12:00:00Z,-47.5,176.25,0.5331116
2030-01-01T12:00:00Z,-47.5,178.125,0.5430298
2030-01-01T12:00:00Z,-47.5,180.0,0.54589844
2030-01-01T12:00:00Z,-46.25,90.0,0.6798706
2030-01-01T12:00:00Z,-46.25,91.875,0.6791992
2030-01-01T12:00:00Z,-46.25,93.75,0.67749023
2030-01-01T12:00:00Z,-46.25,95.625,0.66967773
2030-01-01T12:00:00Z,-46.25,97.5,0.6567383
2030-01-01T12:00:00Z,-46.25,99.375,0.6465454
2030-01-01T12:00:00Z,-46.25,101.25,0.63946533
2030-01-01T12:00:00Z,-46.25,103.125,0.63531494
2030-01-01T12:00:00Z,-46.25,105.0,0.62106323
2030-01-01T12:00:00Z,-46.25,106.875,0.60757446
2030-01-01T12:00:00Z,-46.25,108.75,0.58877563
2030-01-01T12:00:00Z,-46.25,110.625,0.55718994
2030-01-01T12:00:00Z,-46.25,112.5,0.5321655
2030-01-01T12:00:00Z,-46.25,114.375,0.5124817
2030-01-01T12:00:00Z,-46.25,116.25,0.50006104
2030-01-01T12:00:00Z,-46.25,118.125,0.4916687
2030-01-01T12:00:00Z,-46.25,120.0,0.48199463
2030-01-01T12:00:00Z,-46.25,121.875,0.46923828
2030-01-01T12:00:00Z,-46.25,123.75,0.45858765
2030-01-01T12:00:00Z,-46.25,125.625,0.45285034
2030-01-01T12:00:00Z,-46.25,127.5,0.4446411
2030-01-01T12:00:00Z,-46.25,129.375,0.45199585
2030-01-01T12:00:00Z,-46.25,131.25,0.46783447
2030-01-01T12:00:00Z,-46.25,133.125,0.4822998
2030-01-01T12:00:00Z,-46.25,135.0,0.49041748
2030-01-01T12:00:00Z,-46.25,136.875,0.49450684
2030-01-01T12:00:00Z,-46.25,138.75,0.5027771
2030-01-01T12:00:00Z,-46.25,140.625,0.51794434
2030-01-01T12:00:00Z,-46.25,142.5,0.56814575
2030-01-01T12:00:00Z,-46.25,144.375,0.63134766
2030-01-01T12:00:00Z,-46.25,146.25,0.68530273
2030-01-01T12:00:00Z,-46.25,148.125,0.7217102
2030-01-01T12:00:00Z,-46.25,150.0,0.72366333
2030-01-01T12:00:00Z,-46.25,151.875,0.68466187
2030-01-01T12:00:00Z,-46.25,153.75,0.65045166
2030-01-01T12:00:00Z,-46.25,155.625,0.62750244
2030-01-01T12:00:00Z,-46.25,157.5,0.6184387
2030-01-01T12:00:00Z,-46.25,159.375,0.6028137
2030-01-01T12:00:00Z,-46.25,161.25,0.59542847
2030-01-01T12:00:00Z,-46.25,163.125,0.6007385
2030-01-01T12:00:00Z,-46.25,165.0,0.638031
2030-01-01T12:00:00Z,-46.25,166.875,0.6981201
2030-01-01T12:00:00Z,-46.25,168.75,0.80389404
2030-01-01T12:00:00Z,-46.25,170.625,0.62667847
2030-01-01T12:00:00Z,-46.25,172.5,0.5871277
2030-01-01T12:00:00Z,-46.25,174.375,0.5679016
2030-01-01T12:00:00Z,-46.25,176.25,0.5633545
2030-01-01T12:00:00Z,-46.25,178.125,0.5762634
2030-01-01T12:00:00Z,-46.25,180.0,0.5822754
2030-01-01T12:00:00Z,-45.0,90.0,0.68362427
2030-01-01T12:00:00Z,-45.0,91.875,0.6893921
2030-01-01T12:00:00Z,-45.0,93.75,0.6806946
2030-01-01T12:00:00Z,-45.0,95.625,0.65841675
2030-01-01T12:00:00Z,-45.0,97.5,0.63882446
2030-01-01T12:00:00Z,-45.0,99.375,0.6288147
2030-01-01T12:00:00Z,-45.0,101.25,0.6188965
2030-01-01T12:00:00Z,-45.0,103.125,0.6086731
2030-01-01T12:00:00Z,-45.0,105.0,0.5984802
2030-01-01T12:00:00Z,-45.0,106.875,0.58880615
2030-01-01T12:00:00Z,-45.0,108.75,0.5701599
2030-01-01T12:00:00Z,-45.0,110.625,0.5498657
2030-01-01T12:00:00Z,-45.0,112.5,0.53308105
2030-01-01T12:00:00Z,-45.0,114.375,0.51708984
2030-01-01T12:00:00Z,-45.0,116.25,0.51065063
2030-01-01T12:00:00Z,-45.0,118.125,0.5021057
2030-01-01T12:00:00Z,-45.0,120.0,0.49468994
2030-01-01T12:00:00Z,-45.0,121.875,0.48669434
2030-01-01T12:00:00Z,-45.0,123.75,0.48117065
2030-01-01T12:00:00Z,-45.0,125.625,0.4801941
2030-01-01T12:00:00Z,-45.0,127.5,0.4770813
2030-01-01T12:00:00Z,-45.0,129.375,0.49142456
2030-01-01T12:00:00Z,-45.0,131.25,0.5037842
2030-01-01T12:00:00Z,-45.0,133.125,0.51760864
2030-01-01T12:00:00Z,-45.0,135.0,0.51971436
2030-01-01T12:00:00Z,-45.0,136.875,0.5118103
2030-01-01T12:00:00Z,-45.0,138.75,0.51361084
2030-01-01T12:00:00Z,-45.0,140.625,0.5458679
2030-01-01T12:00:00Z,-45.0,142.5,0.6097717
2030-01-01T12:00:00Z,-45.0,144.375,0.67123413
2030-01-01T12:00:00Z,-45.0,146.25,0.74224854
2030-01-01T12:00:00Z,-45.0,148.125,0.8201904
2030-01-01T12:00:00Z,-45.0,150.0,0.8663025
2030-01-01T12:00:00Z,-45.0,151.875,0.81625366
2030-01-01T12:00:00Z,-45.0,153.75,0.73898315
2030-01-01T12:00:00Z,-45.0,155.625,0.707428
2030-01-01T12:00:00Z,-45.0,157.5,0.69854736
2030-01-01T12:00:00Z,-45.0,159.375,0.6778259
2030-01-01T12:00:00Z,-45.0,161.25,0.6529236
2030-01-01T12:00:00Z,-45.0,163.125,0.6472168
2030-01-01T12:00:00Z,-45.0,165.0,0.6687317
2030-01-01T12:00:00Z,-45.0,166.875,0.73657227
2030-01-01T12:00:00Z,-45.0,168.75,0.78692627
2030-01-01T12:00:00Z,-45.0,170.625,0.7758179
2030-01-01T12:00:00Z,-45.0,172.5,0.65457153
2030-01-01T12:00:00Z,-45.0,174.375,0.6265869
2030-01-01T12:00:00Z,-45.0,176.25,0.61605835
2030-01-01T12:00:00Z,-45.0,178.125,0.6195984
2030-01-01T12:00:00Z,-45.0,180.0,0.6230469
2030-01-01T12:00:00Z,-43.75,90.0,0.6722717
2030-01-01T12:00:00Z,-43.75,91.875,0.66830444
2030-01-01T12:00:00Z,-43.75,93.75,0.6586914
2030-01-01T12:00:00Z,-43.75,95.625,0.63986206
2030-01-01T12:00:00Z,-43.75,97.5,0.6180725
2030-01-01T12:00:00Z,-43.75,99.375,0.61395264
2030-01-01T12:00:00Z,-43.75,101.25,0.6010437
2030-01-01T12:00:00Z,-43.75,103.125,0.5887451
2030-01-01T12:00:00Z,-43.75,105.0,0.5816345
2030-01-01T12:00:00Z,-43.75,106.875,0.5779724
2030-01-01T12:00:00Z,-43.75,108.75,0.56085205
2030-01-01T12:00:00Z,-43.75,110.625,0.54766846
2030-01-01T12:00:00Z,-43.75,112.5,0.5354309
2030-01-01T12:00:00Z,-43.75,114.375,0.53189087
2030-01-01T12:00:00Z,-43.75,116.25,0.53012085
2030-01-01T12:00:00Z,-43.75,118.125,0.5244751
2030-01-01T12:00:00Z,-43.75,120.0,0.51724243
2030-01-01T12:00:00Z,-43.75,121.875,0.5116272
2030-01-01T12:00:00Z,-43.75,123.75,0.5093994
2030-01-01T12:00:00Z,-43.75,125.625,0.5058594
2030-01-01T12:00:00Z,-43.75,127.5,0.5090027
2030-01-01T12:00:00Z,-43.75,129.375,0.5229187
2030-01-01T12:00:00Z,-43.75,131.25,0.5367737
2030-01-01T12:00:00Z,-43.75,133.125,0.54473877
2030-01-01T12:00:00Z,-43.75,135.0,0.5353699
2030-01-01T12:00:00Z,-43.75,136.875,0.4993286
2030-01-01T12:00:00Z,-43.75,138.75,0.4937439
2030-01-01T12:00:00Z,-43.75,140.625,0.5362549
2030-01-01T12:00:00Z,-43.75,142.5,0.5971985
2030-01-01T12:00:00Z,-43.75,144.375,0.6420288
2030-01-01T12:00:00Z,-43.75,146.25,0.75271606
2030-01-01T12:00:00Z,-43.75,148.125,0.846344
2030-01-01T12:00:00Z,-43.75,150.0,0.94467163
2030-01-01T12:00:00Z,-43.75,151.875,0.91934204
2030-01-01T12:00:00Z,-43.75,153.75,0.81451416
2030-01-01T12:00:00Z,-43.75,155.625,0.76153564
2030-01-01T12:00:00Z,-43.75,157.5,0.75567627
2030-01-01T12:00:00Z,-43.75,159.375,0.7301941
2030-01-01T12:00:00Z,-43.75,161.25,0.6932068
2030-01-01T12:00:00Z,-43.75,163.125,0.66085815
2030-01-01T12:00:00Z,-43.75,165.0,0.67181396
2030-01-01T12:00:00Z,-43.75,166.875,0.6997986
2030-01-01T12:00:00Z,-43.75,168.75,0.7789612
2030-01-01T12:00:00Z,-43.75,170.625,0.7994995
2030-01-01T12:00:00Z,-43.75,172.5,0.77111816
2030-01-01T12:00:00Z,-43.75,174.375,0.68414307
2030-01-01T12:00:00Z,-43.75,176.25,0.6593933
2030-01-01T12:00:00Z,-43.75,178.125,0.67089844
2030-01-01T12:00:00Z,-43.75,180.0,0.6742554
2030-01-01T12:00:00Z,-42.5,90.0,0.64260864
2030-01-01T12:00:00Z,-42.5,91.875,0.63739014
2030-01-01T12:00:00Z,-42.5,93.75,0.6252136
2030-01-01T12:00:00Z,-42.5,95.625,0.61083984
2030-01-01T12:00:00Z,-42.5,97.5,0.60284424
2030-01-01T12:00:00Z,-42.5,99.375,0.59866333
2030-01-01T12:00:00Z,-42.5,101.25,0.59091187
2030-01-01T12:00:00Z,-42.5,103.125,0.5797119
2030-01-01T12:00:00Z,-42.5,105.0,0.573761
2030-01-01T12:00:00Z,-42.5,106.875,0.57147217
2030-01-01T12:00:00Z,-42.5,108.75,0.56433105
2030-01-01T12:00:00Z,-42.5,110.625,0.55319214
2030-01-01T12:00:00Z,-42.5,112.5,0.5465088
2030-01-01T12:00:00Z,-42.5,114.375,0.54385376
2030-01-01T12:00:00Z,-42.5,116.25,0.54367065
2030-01-01T12:00:00Z,-42.5,118.125,0.5354004
