time,latitude,longitude,pr_annual
UTC,degrees_north,degrees_east,Percent change
2090-01-01T12:00:00Z,-48.75,174.375,4.970165
2090-01-01T12:00:00Z,-48.75,176.25,5.4417605
2090-01-01T12:00:00Z,-48.75,178.125,6.112268
2090-01-01T12:00:00Z,-48.75,180.0,5.8453984
2090-01-01T12:00:00Z,-47.5,90.0,7.873832
2090-01-01T12:00:00Z,-47.5,91.875,7.1548834
2090-01-01T12:00:00Z,-47.5,93.75,7.8678284
2090-01-01T12:00:00Z,-47.5,95.625,9.481723
2090-01-01T12:00:00Z,-47.5,97.5,10.677051
2090-01-01T12:00:00Z,-47.5,99.375,10.46378
2090-01-01T12:00:00Z,-47.5,101.25,9.37311
2090-01-01T12:00:00Z,-47.5,103.125,8.382191
2090-01-01T12:00:00Z,-47.5,105.0,7.543526
2090-01-01T12:00:00Z,-47.5,106.875,5.661574
2090-01-01T12:00:00Z,-47.5,108.75,4.50187
2090-01-01T12:00:00Z,-47.5,110.625,1.5037618
2090-01-01T12:00:00Z,-47.5,112.5,0.15782608
2090-01-01T12:00:00Z,-47.5,114.375,-0.0016473514
2090-01-01T12:00:00Z,-47.5,116.25,0.774458
2090-01-01T12:00:00Z,-47.5,118.125,0.058036685
2090-01-01T12:00:00Z,-47.5,120.0,-1.1223097
2090-01-01T12:00:00Z,-47.5,121.875,-2.3520663
2090-01-01T12:00:00Z,-47.5,123.75,-4.421045
2090-01-01T12:00:00Z,-47.5,125.625,-5.536116
2090-01-01T12:00:00Z,-47.5,127.5,-6.471912
2090-01-01T12:00:00Z,-47.5,129.375,-6.214074
2090-01-01T12:00:00Z,-47.5,131.25,-3.581002
2090-01-01T12:00:00Z,-47.5,133.125,-1.2830502
2090-01-01T12:00:00Z,-47.5,135.0,-0.19962223
2090-01-01T12:00:00Z,-47.5,136.875,-1.7619603
2090-01-01T12:00:00Z,-47.5,138.75,-3.0101585
2090-01-01T12:00:00Z,-47.5,140.625,-0.8304864
2090-01-01T12:00:00Z,-47.5,142.5,4.451988
2090-01-01T12:00:00Z,-47.5,144.375,12.556794
2090-01-01T12:00:00Z,-47.5,146.25,17.062313
2090-01-01T12:00:00Z,-47.5,148.125,15.716111
2090-01-01T12:00:00Z,-47.5,150.0,7.986541
2090-01-01T12:00:00Z,-47.5,151.875,2.225523
2090-01-01T12:00:00Z,-47.5,153.75,-0.8550583
2090-01-01T12:00:00Z,-47.5,155.625,-1.6964647
2090-01-01T12:00:00Z,-47.5,157.5,4.0670357
2090-01-01T12:00:00Z,-47.5,159.375,8.648346
2090-01-01T12:00:00Z,-47.5,161.25,9.366312
2090-01-01T12:00:00Z,-47.5,163.125,14.262974
2090-01-01T12:00:00Z,-47.5,165.0,21.600098
2090-01-01T12:00:00Z,-47.5,166.875,19.795183
2090-01-01T12:00:00Z,-47.5,168.75,9.296816
2090-01-01T12:00:00Z,-47.5,170.625,4.800718
2090-01-01T12:00:00Z,-47.5,172.5,0.59487355
2090-01-01T12:00:00Z,-47.5,174.375,-1.0066409
2090-01-01T12:00:00Z,-47.5,176.25,1.4222314
2090-01-01T12:00:00Z,-47.5,178.125,3.2342196
2090-01-01T12:00:00Z,-47.5,180.0,1.9443939
2090-01-01T12:00:00Z,-46.25,90.0,5.0672555
2090-01-01T12:00:00Z,-46.25,91.875,4.914466
2090-01-01T12:00:00Z,-46.25,93.75,5.7903943
2090-01-01T12:00:00Z,-46.25,95.625,7.456694
2090-01-01T12:00:00Z,-46.25,97.5,7.7561483
2090-01-01T12:00:00Z,-46.25,99.375,7.3048015
2090-01-01T12:00:00Z,-46.25,101.25,5.8988843
2090-01-01T12:00:00Z,-46.25,103.125,4.0611315
2090-01-01T12:00:00Z,-46.25,105.0,2.0903869
2090-01-01T12:00:00Z,-46.25,106.875,0.30281729
2090-01-01T12:00:00Z,-46.25,108.75,-1.2242525
2090-01-01T12:00:00Z,-46.25,110.625,-2.5372968
2090-01-01T12:00:00Z,-46.25,112.5,-3.2223074
2090-01-01T12:00:00Z,-46.25,114.375,-3.9316611
2090-01-01T12:00:00Z,-46.25,116.25,-3.887371
2090-01-01T12:00:00Z,-46.25,118.125,-4.3835015
2090-01-01T12:00:00Z,-46.25,120.0,-7.013308
2090-01-01T12:00:00Z,-46.25,121.875,-8.649467
