gi_code,gi_region,geo_desc,total_water_used,source_groundwater,source_irrigation,source_recycled,source_mains,source_dams_tanks,source_rivers_creeks_lakes,source_other,source_groundwater_ratio,source_irrigation_ratio,source_recycled_ratio,source_mains_ratio,source_dams_tanks_ratio,source_rivers_creeks_lakes_ratio,source_other_ratio,main_source_groundwater,main_source_irrigation,main_source_recycled,main_source_mains,main_source_dams_tanks,main_source_rivers_creeks_lakes,main_source_other,watering_drip_ratio,watering_flood_ratio,watering_sprinkler_ratio,watering_other_ratio,main_watering_drip,main_watering_flood,main_watering_sprinkler,main_watering_other,cabernet_sauvignon _ratio,durif_ratio,grenache_ratio,malbec_ratio,merlot_ratio,montepulciano_ratio,muscat_rose_ratio,nebbiolo_ratio,nero_ratio,petit_verdot_ratio,pinot_noir_ratio,ruby_cabernet_ratio,sangiovese_ratio,shiraz_ratio,tempranillo_ratio,barbera_ratio,bernet_franc_ratio,mataro_ratio,dolcetto_ratio,zinfandel_ratio,other_red_ratio,total_red_ratio,chardonnay_ratio,colombard_ratio,fiano_ratio,muscat_blanc_ratio,muscat_gordo_ratio,pinot_gris_ratio,prosecco_ratio,riesling_ratio,sauvignon_blanc_ratio,semillon_ratio,sultana_ratio,verdelho_ratio,vermentino_ratio,viognier_ratio,arneis_ratio,chenin_blanc_ratio,marsanne_ratio,muscadelle_ratio,traminer_ratio,savagnin_ratio,other_white_ratio,total_white_ratio,main_cabernet_sauvignon ,main_durif,main_grenache,main_malbec,main_merlot,main_montepulciano,main_muscat_rose,main_nebbiolo,main_nero,main_petit_verdot,main_pinot_noir,main_ruby_cabernet,main_sangiovese,main_shiraz,main_tempranillo,main_barbera,main_bernet_franc,main_mataro,main_dolcetto,main_zinfandel,main_other_red,main_total_red,main_chardonnay,main_colombard,main_fiano,main_muscat_blanc,main_muscat_gordo,main_pinot_gris,main_prosecco,main_riesling,main_sauvignon_blanc,main_semillon,main_sultana,main_verdelho,main_vermentino,main_viognier,main_arneis,main_chenin_blanc,main_marsanne,main_muscadelle,main_traminer,main_savagnin,main_other_white,main_total_white
231,Bendigo,Bendigo,809.64,15.16,201.86,27.73,1.54,171.96,391.38,0,0.02,0.25,0.03,0,0.21,0.48,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.182053165,0,0.001074586,0.007327102,0.056031997,0,0,0.000410749,0,0.003622061,0.037776478,0,0.00721093,0.541678595,0.002302685,0,0.003742381,0,0,0.001024798,0,0.84424723,0.061321949,0,0.002709285,0,0,0.039747244,0,0.020388096,0.020280222,0.001813105,0,0,0,0.008571796,0,0,0,0,0.000410749,0,0.000510325,0.15575277,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
232,Goulburn Valley,"Shepparton, VIC",2416.4,939.54,376.97,0,0,12.16,1087.74,0,0.39,0.16,0,0,0.01,0.45,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.96,0,0.04,0,TRUE,FALSE,FALSE,FALSE,0.122622631,0.009519883,0.004033933,0,0.093013367,0,0.001281542,0,0,0.010179981,9.81E-05,0,0.012852089,0.232279192,0.00985687,0.000840485,0.003836696,0.002200327,0,0.000607568,0.000551073,0.503775741,0.199050291,0,0,0.001133862,4.06E-05,0.036097254,0.003441232,0.026440595,0.109738825,0.021714848,0,0.003548275,0.00080976,0.016916747,0,0,0.056578135,0,0.011249419,0.003429338,0.00603405,0.496224259,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
233,Strathbogie Ranges,Strathbogie Ranges,653.9,13.66,10.22,0,0,630.01,0,0,0.02,0.02,0,0,0.96,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.85,0,0.15,0,TRUE,FALSE,FALSE,FALSE,0.059340044,0,0,0,0.035200755,0,0,0,0,0,0.327733488,0,0.007759613,0.100952717,0.002086335,0,0,0,0,0.007775163,0.005253418,0.546101533,0.274136698,0,0,0,0,0.080540322,0,0.035656898,0.043367268,0,0,0,0.005007205,0.008511212,0.002270348,0,0,0,0,0.002513969,0.001891956,0.453898467,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
234,Heathcote,"Ladys Pass, VIC",1904.44,1.07,1839.35,0,0.02,49.51,8.59,5.9,0,0.97,0,0,0.03,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.97,0,0.03,0,TRUE,FALSE,FALSE,FALSE,0.072505289,0.008815233,0.031345039,0.007472287,0.035088758,0.000413214,0,0.001123942,0.000413214,7.44E-05,0,0,0.003337392,0.540704337,0.01343772,0,0.000665275,0.015024462,0.018043679,0,0.003705153,0.752167996,0.157276148,0,0.00068869,0,0,0,0,0.059986281,0.000296137,0.000713483,0,0.000296137,0.001575723,0.004234066,0,0,0.003895231,0,0.01257548,0,0.006294627,0.247832004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
235,Upper Goulburn,"Bonnie Doon, VIC",1323.38,136.01,364.29,0,0,492.54,330.54,0,0.1,0.28,0,0,0.37,0.25,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.68,0,0.32,0,TRUE,FALSE,FALSE,FALSE,0.074315392,0,0,0.001573812,0.110040919,0,0,0.002399189,0,0,0.24915189,0,0.000412688,0.152803134,0.001087679,0,0,0,0,0,0.000188857,0.591966565,0.21256951,0,0,0,0.023533732,0.077340608,0,0.02633162,0.062634211,0,0,0,0,0,0,0,0,0,0.005620257,0,0,0.408029937,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
241,Grampians,Grampians,256.2,0.53,0,158.51,32.13,65.03,0,0,0,0,0.62,0.13,0.25,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.072981088,0.002739293,0.004382869,0,0.01007217,0,0,0,0,0,0.018827372,0,0.025654533,0.643797082,0.002876258,0.001158932,0,0,0.001369647,0,0.005615551,0.789474793,0.021945952,0,0,0,0,0.078333246,0,0.086424696,0.013011642,0,0,0,0,0.007796449,0,0,0,0,0,0,0.003013222,0.210525207,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
242,Henty,"Merino, VIC",60.91,11.15,0,0,0.77,48.99,0,0,0.18,0,0,0.01,0.8,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.021994398,0,0,0,0.002926602,0,0,0,0,0,0.415774921,0,0,0.043647659,0,0,0.002926602,0,0,0,0.06409796,0.551368141,0.216891698,0,0,0,0,0.087205544,0,0.124604999,0.005386383,0.012209135,0,0,0,0,0,0,0,0,0.002334099,0,0,0.448631859,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
251,Geelong,Geelong,168.29,0,0,0,26.47,36.43,105.27,0.11,0,0,0,0.16,0.22,0.63,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.017035672,0,0.002496954,0,0.007037787,0,0,0,0,0,0.460778687,0,0,0.140665116,0,0,0.001822374,0.001822374,0,0.001822374,0.005457053,0.638918255,0.186687609,0,0,0,0,0.09681739,0,0.022482657,0.044985451,0.002607706,0,0,0,0.004661653,0.000453076,0,0.002386202,0,0,0,0,0.361071677,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
252,Mornington Peninsula,Mornington Peninsula,349.84,46,0,53.42,0,250.42,0,0,0.13,0,0.15,0,0.72,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.009348441,0.000689513,0,0,0.009936374,0,0.001086599,0,0,0,0.444335682,0,0.003761539,0.056013692,0.00137287,0,0,0,0,0,0.00249025,0.529031881,0.253183611,0,0.000751077,0.000603324,0,0.174400601,0,0.008754352,0.025028704,0.000375538,0,0,0,0.003484503,0.000652575,0,0.000113893,0,0.000794171,0.00155756,0.001271289,0.470968119,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
253,Sunbury,"Sunbury, VIC",165.77,8.91,0,89.09,0,27.94,2.55,37.28,0.05,0,0.54,0,0.17,0.02,0.22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.175868694,0,0,0,0.061810892,0,0.00212997,0.001044103,0,0,0.254677581,0,0.007893418,0.334238223,0,0,0.01064985,0.002672903,0,0,0,0.850985633,0.069495489,0,0,0,0,0.018793852,0,0,0.052789843,0.005304043,0,0,0.001044103,0,0,0,0,0.001587036,0,0,0,0.149014367,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
