gi_code,gi_region,total_water_used,source_groundwater,source_irrigation,source_recycled,source_mains,source_dams_tanks,source_rivers_creeks_lakes,source_other,source_groundwater_ratio,source_irrigation_ratio,source_recycled_ratio,source_mains_ratio,source_dams_tanks_ratio,source_rivers_creeks_lakes_ratio,source_other_ratio,main_source_groundwater,main_source_irrigation,main_source_recycled,main_source_mains,main_source_dams_tanks,main_source_rivers_creeks_lakes,main_source_other,watering_drip_ratio,watering_flood_ratio,watering_sprinkler_ratio,watering_other_ratio,main_watering_drip,main_watering_flood,main_watering_sprinkler,main_watering_other,cabernet_sauvignon _ratio,durif_ratio,grenache_ratio,malbec_ratio,merlot_ratio,montepulciano_ratio,muscat_rose_ratio,nebbiolo_ratio,nero_ratio,petit_verdot_ratio,pinot_noir_ratio,ruby_cabernet_ratio,sangiovese_ratio,shiraz_ratio,tempranillo_ratio,barbera_ratio,bernet_franc_ratio,mataro_ratio,dolcetto_ratio,zinfandel_ratio,other_red_ratio,total_red_ratio,chardonnay_ratio,colombard_ratio,fiano_ratio,muscat_blanc_ratio,muscat_gordo_ratio,pinot_gris_ratio,prosecco_ratio,riesling_ratio,sauvignon_blanc_ratio,semillon_ratio,sultana_ratio,verdelho_ratio,vermentino_ratio,viognier_ratio,arneis_ratio,chenin_blanc_ratio,marsanne_ratio,muscadelle_ratio,traminer_ratio,savagnin_ratio,other_white_ratio,total_white_ratio,main_cabernet_sauvignon ,main_durif,main_grenache,main_malbec,main_merlot,main_montepulciano,main_muscat_rose,main_nebbiolo,main_nero,main_petit_verdot,main_pinot_noir,main_ruby_cabernet,main_sangiovese,main_shiraz,main_tempranillo,main_barbera,main_bernet_franc,main_mataro,main_dolcetto,main_zinfandel,main_other_red,main_total_red,main_chardonnay,main_colombard,main_fiano,main_muscat_blanc,main_muscat_gordo,main_pinot_gris,main_prosecco,main_riesling,main_sauvignon_blanc,main_semillon,main_sultana,main_verdelho,main_vermentino,main_viognier,main_arneis,main_chenin_blanc,main_marsanne,main_muscadelle,main_traminer,main_savagnin,main_other_white,main_total_white
141,Canberra District (NSW),220.43,167.6,0,0,0,44.69,8.15,0,0.76,0,0,0,0.2,0.04,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.134193051,0,0.003747486,0.001515527,0.084807528,0,0.002321512,0,0,0.001584415,0.05695627,0,0.023587115,0.320527128,0.010429583,0,0.003258384,0.002156182,0,0,0.000144664,0.645228845,0.038887052,0,0,0,0,0.041029456,0,0.153281805,0.030544763,0.056246728,0,0,0,0.027238158,0,0,0.002803725,0,0,0.00222507,0.002514398,0.354771155,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
142,Hilltops,331.11,249.62,0,0,2.24,51.25,28,0,0.75,0,0,0.01,0.15,0.08,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.275661941,0,0.002845636,0.000699542,0.042629578,0,0,0.013001484,0,0.001706382,0.008811728,0,0.003717565,0.387558649,0.018775202,0.003077984,0,0.001566474,0,0,0.005344,0.765398664,0.048063518,0,0,0,0,0.105998071,0.00083945,0.020424122,0.031791676,0.014080777,0,0,0,0.011697338,0,0,8.49E-05,0,0.000979359,0,0.000644578,0.234601336,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
143,Tumbarumba,114.72,0,0,0,0,35.13,79.59,0,0,0,0,0,0.31,0.69,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0.337739792,0,0,0,0,0,0,0,0,0,0.034797394,0.372537186,0.50665836,0,0,0,0,0.028139034,0.010383407,0.00507489,0.077200633,0,0,0,0,0,0,0,0,0,0,0,0,0.627462814,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
144,Gundagai,512.99,51.64,0,0,0,36.76,424.59,0,0.1,0,0,0,0.07,0.83,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.96,0,0.04,0,TRUE,FALSE,FALSE,FALSE,0.278634885,0,0,0,9.69E-05,0,0,0.002030597,0,0,0.043242495,0,0.006414842,0.659496504,0.002265962,0.005399543,0,0,0,0,0.000461499,0.998043242,0,0,0,0,0,0,0,0,0.001956758,0,0,0,0,0,0,0,0,0,0,0,0,0.001956758,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
148,Southern New South Wales - Other,36.28,11.65,0,0,0,18.58,6.06,0,0.32,0,0,0,0.51,0.17,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.228670947,0,0,0,0.019094381,0,0,0,0,0,0.043560368,0,0,0.59847245,0,0,0,0,0,0,0,0.889840111,0.024004364,0,0,0,0,0.008015443,0,0.028872382,0.024885644,0.017793445,0,0,0,0.002224181,0,0,0,0,0,0,0.004448361,0.110201855,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
151,Shoalhaven Coast,6,0,0,0,0,6,0,0,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.219064386,0,0,0.006287726,0.025150905,0,0,0,0,0,0,0,0,0.070422535,0.008802817,0,0,0,0,0,0.16819668,0.516788229,0.119152414,0,0,0,0,0,0,0,0.070422535,0.137072435,0,0.106891348,0,0,0.02137827,0,0,0,0,0.028294769,0,0.483211771,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
152,Southern Highlands,65.15,64.62,0,0,0,0.53,0,0,0.99,0,0,0,0.01,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.083286982,0,0,0.00926217,0.091194893,0,0,0,0,0,0.250465527,0,0,0.007448429,0.011607942,0,0,0,0,0,0.049599768,0.502865711,0.150613044,0,0,0,0,0.08514909,0,0.095741336,0.131218108,0,0,0,0,0,0.027399579,0,0,0,0.004352978,0.002660153,0,0.497134289,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
158,South Coast - Other,19.15,1.73,0,0,0.54,3.38,13.5,0,0.09,0,0,0.03,0.18,0.7,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.54,0,0.46,0,TRUE,FALSE,FALSE,FALSE,0.016071429,0,0,0,0.099456522,0,0,0,0,0.0125,0.165217391,0,0,0.079503106,0.044642857,0.053571429,0,0,0,0,0.042934783,0.513742236,0.091071429,0,0,0.0625,0,0.120574534,0,0,0.026785714,0.019642857,0,0.044642857,0,0.017857143,0,0,0,0,0,0.026785714,0.076475155,0.486257764,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
161,New England Australia,13.89,1.54,0,0,0,7.35,5,0,0.11,0,0,0,0.53,0.36,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.35,0,0.65,0,FALSE,FALSE,TRUE,FALSE,0.035217929,0,0,0,0.01920978,0,0,0.052026486,0,0,0.053627301,0,0,0.133668049,0.161172961,0.014989449,0,0,0,0,0.060830968,0.530742924,0.082078149,0,0,0,0,0.008004075,0,0.008004075,0.118460307,0.032598414,0,0.008004075,0,0.032016299,0,0,0,0,0.158480681,0,0.021611002,0.469257076,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
169,Northern Slopes,0.59,0,0,0,0,0,0.59,0,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.416924833,0,0,0,0.185716615,0,0,0,0,0,0,0,0,0.296429154,0,0,0,0,0,0,0,0.899070602,0,0,0,0,0,0,0,0,0.009620088,0,0,0.09130931,0,0,0,0,0,0,0,0,0,0.100929398,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
